,predict
0,3
1,3
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,20
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,20
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,13
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,20
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,20
85,20
86,20
87,0
88,0
89,3
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,23
108,23
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,23
128,10
129,10
130,10
131,10
132,23
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,23
149,10
150,10
151,23
152,10
153,13
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,3
165,11
166,21
167,21
168,11
169,21
170,21
171,11
172,11
173,21
174,21
175,21
176,21
177,11
178,21
179,21
180,11
181,11
182,21
183,21
184,21
185,21
186,21
187,21
188,21
189,21
190,21
191,21
192,7
193,11
194,21
195,11
196,21
197,11
198,21
199,21
200,21
201,3
202,22
203,19
204,22
205,19
206,19
207,22
208,22
209,22
210,22
211,22
212,22
213,19
214,14
215,14
216,14
217,19
218,14
219,3
220,17
221,17
222,13
223,17
224,17
225,17
226,13
227,3
228,13
229,17
230,13
231,13
232,13
233,17
234,13
235,10
236,17
237,13
238,3
239,2
240,9
241,2
242,9
243,9
244,9
245,3
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,1
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,1
271,4
272,7
273,4
274,4
275,1
276,4
277,4
278,7
279,7
280,7
281,7
282,1
283,7
284,1
285,3
286,17
287,17
288,13
289,21
290,3
291,19
292,14
293,19
294,14
295,3
296,13
297,17
298,17
299,13
300,13
301,3
302,13
303,17
304,13
305,13
306,21
307,21
308,17
309,21
310,17
311,13
312,17
313,3
314,22
315,22
316,22
317,22
318,22
319,22
320,22
321,22
322,22
323,22
324,14
325,22
326,14
327,22
328,22
329,14
330,14
331,1
332,22
333,1
334,3
335,16
336,24
337,16
338,24
339,24
340,16
341,16
342,2
343,16
344,16
345,16
346,16
347,16
348,2
349,16
350,16
351,2
352,16
353,16
354,16
355,24
356,24
357,16
358,2
359,16
360,16
361,3
362,7
363,7
364,7
365,3
366,2
367,9
368,2
369,2
370,2
371,2
372,2
373,9
374,2
375,9
376,16
377,9
378,16
379,3
380,2
381,2
382,9
383,9
384,9
385,9
386,9
387,9
388,16
389,9
390,3
391,1
392,1
393,7
394,3
395,6
396,5
397,5
398,5
399,5
400,5
401,5
402,6
403,5
404,12
405,12
406,5
407,5
408,5
409,5
410,5
411,12
412,6
413,5
414,12
415,6
416,5
417,5
418,5
419,6
420,5
421,6
422,6
423,6
424,5
425,5
426,12
427,6
428,5
429,3
430,1
431,7
432,4
433,4
434,1
435,4
436,1
437,7
438,7
439,3
440,2
441,2
442,24
443,3
444,2
445,2
446,9
447,9
448,2
449,2
450,2
451,2
452,16
453,16
454,3
455,8
456,8
457,8
458,8
459,8
460,8
461,8
462,15
463,18
464,18
465,15
466,8
467,8
468,8
469,3
470,12
471,5
472,6
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,12
481,6
482,6
483,3
484,17
485,10
486,13
487,23
488,17
489,17
490,17
491,13
492,13
