,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score
0,서울특별시,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,서울특별시 종로구,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,서울특별시 종로구 청운동,종로구,청운동,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
3,서울특별시 종로구 신교동,종로구,신교동,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
4,서울특별시 종로구 궁정동,종로구,궁정동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,서울특별시 종로구 효자동,종로구,효자동,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
6,서울특별시 종로구 창성동,종로구,창성동,0.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.2127659574468085
7,서울특별시 종로구 통의동,종로구,통의동,0.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.6475485661424607
8,서울특별시 종로구 적선동,종로구,적선동,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.8695652173913043,0.0,0.0,0.0,1.0028985507246377
9,서울특별시 종로구 통인동,종로구,통인동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,서울특별시 종로구 누상동,종로구,누상동,0.0,0.0,0.0,0.2127659574468085,0.0,0.25,0.0,0.0,0.0,0.0,0.4627659574468085
11,서울특별시 종로구 누하동,종로구,누하동,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
12,서울특별시 종로구 옥인동,종로구,옥인동,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
13,서울특별시 종로구 체부동,종로구,체부동,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
14,서울특별시 종로구 필운동,종로구,필운동,0.0,0.0,0.0,0.2127659574468085,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.4794326241134752
15,서울특별시 종로구 내자동,종로구,내자동,0.0,0.0,0.0,0.2127659574468085,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.34609929078014184
16,서울특별시 종로구 사직동,종로구,사직동,0.0,0.0,0.0,0.2127659574468085,0.0,0.125,0.43478260869565216,0.0,0.0,0.0,0.7725485661424606
17,서울특별시 종로구 도렴동,종로구,도렴동,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
18,서울특별시 종로구 당주동,종로구,당주동,0.0,0.0,0.0,0.425531914893617,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.8603145235892692
19,서울특별시 종로구 내수동,종로구,내수동,0.0,0.0,0.0,0.2127659574468085,0.0,0.25,0.0,0.0,0.0,0.0,0.4627659574468085
