address,goo,dong,맥도날드,롯데리아,버거킹,kfc
서울특별시,,,0,0,0,0
서울특별시 종로구,,,0,0,0,0
서울특별시 종로구 청운동,종로구,청운동,0,0,0,0
서울특별시 종로구 신교동,종로구,신교동,0,0,0,0
서울특별시 종로구 궁정동,종로구,궁정동,0,0,0,0
서울특별시 종로구 효자동,종로구,효자동,0,0,0,0
서울특별시 종로구 창성동,종로구,창성동,0,0,0,0
서울특별시 종로구 통의동,종로구,통의동,0,0,0,0
서울특별시 종로구 적선동,종로구,적선동,0,0,0,0
서울특별시 종로구 통인동,종로구,통인동,0,0,0,0
서울특별시 종로구 누상동,종로구,누상동,0,0,0,0
서울특별시 종로구 누하동,종로구,누하동,0,0,0,0
서울특별시 종로구 옥인동,종로구,옥인동,0,0,0,0
서울특별시 종로구 체부동,종로구,체부동,0,0,0,0
서울특별시 종로구 필운동,종로구,필운동,0,0,0,0
서울특별시 종로구 내자동,종로구,내자동,0,0,0,0
서울특별시 종로구 사직동,종로구,사직동,0,0,0,0
서울특별시 종로구 도렴동,종로구,도렴동,0,0,0,0
서울특별시 종로구 당주동,종로구,당주동,0,0,0,0
서울특별시 종로구 내수동,종로구,내수동,0,0,0,0
서울특별시 종로구 세종로,종로구,세종로,0,0,0,1
서울특별시 종로구 신문로1가,종로구,신문로1가,0,0,0,0
서울특별시 종로구 신문로2가,종로구,신문로2가,0,0,0,0
서울특별시 종로구 청진동,종로구,청진동,0,0,0,0
서울특별시 종로구 서린동,종로구,서린동,0,0,0,1
서울특별시 종로구 수송동,종로구,수송동,0,0,1,0
서울특별시 종로구 중학동,종로구,중학동,0,0,0,0
서울특별시 종로구 종로1가,종로구,종로1가,0,0,0,0
서울특별시 종로구 공평동,종로구,공평동,0,0,0,0
서울특별시 종로구 관훈동,종로구,관훈동,0,0,0,0
서울특별시 종로구 견지동,종로구,견지동,0,0,0,0
서울특별시 종로구 와룡동,종로구,와룡동,0,0,0,0
서울특별시 종로구 권농동,종로구,권농동,0,0,0,0
서울특별시 종로구 운니동,종로구,운니동,0,0,0,0
서울특별시 종로구 익선동,종로구,익선동,0,0,0,0
서울특별시 종로구 경운동,종로구,경운동,0,0,0,0
서울특별시 종로구 관철동,종로구,관철동,0,0,0,0
서울특별시 종로구 인사동,종로구,인사동,0,0,0,0
서울특별시 종로구 낙원동,종로구,낙원동,0,0,0,0
서울특별시 종로구 종로2가,종로구,종로2가,0,1,1,1
서울특별시 종로구 팔판동,종로구,팔판동,0,0,0,0
서울특별시 종로구 삼청동,종로구,삼청동,0,0,0,0
서울특별시 종로구 안국동,종로구,안국동,1,0,0,0
서울특별시 종로구 소격동,종로구,소격동,0,0,0,0
서울특별시 종로구 화동,종로구,화동,0,0,0,0
서울특별시 종로구 사간동,종로구,사간동,0,0,0,0
서울특별시 종로구 송현동,종로구,송현동,0,0,0,0
서울특별시 종로구 가회동,종로구,가회동,0,0,0,0
서울특별시 종로구 재동,종로구,재동,0,0,0,0
서울특별시 종로구 계동,종로구,계동,0,0,0,0
서울특별시 종로구 원서동,종로구,원서동,0,0,0,0
서울특별시 종로구 훈정동,종로구,훈정동,0,0,0,0
서울특별시 종로구 묘동,종로구,묘동,0,0,0,0
서울특별시 종로구 봉익동,종로구,봉익동,0,0,0,0
서울특별시 종로구 돈의동,종로구,돈의동,0,0,0,0
서울특별시 종로구 장사동,종로구,장사동,0,0,0,0
서울특별시 종로구 관수동,종로구,관수동,0,0,0,0
서울특별시 종로구 종로3가,종로구,종로3가,1,0,0,0
서울특별시 종로구 인의동,종로구,인의동,0,0,0,0
서울특별시 종로구 예지동,종로구,예지동,0,0,0,0
서울특별시 종로구 원남동,종로구,원남동,0,0,0,0
서울특별시 종로구 연지동,종로구,연지동,0,0,0,0
서울특별시 종로구 종로4가,종로구,종로4가,0,0,0,0
서울특별시 종로구 효제동,종로구,효제동,0,0,0,0
서울특별시 종로구 종로5가,종로구,종로5가,0,0,0,0
서울특별시 종로구 종로6가,종로구,종로6가,0,0,0,0
서울특별시 종로구 이화동,종로구,이화동,0,0,0,0
서울특별시 종로구 연건동,종로구,연건동,0,0,0,0
서울특별시 종로구 충신동,종로구,충신동,0,0,0,0
서울특별시 종로구 동숭동,종로구,동숭동,1,0,0,1
서울특별시 종로구 혜화동,종로구,혜화동,0,1,1,0
서울특별시 종로구 명륜1가,종로구,명륜1가,0,0,0,0
서울특별시 종로구 명륜2가,종로구,명륜2가,1,0,0,0
서울특별시 종로구 명륜4가,종로구,명륜4가,0,0,0,0
서울특별시 종로구 명륜3가,종로구,명륜3가,0,0,0,0
서울특별시 종로구 창신동,종로구,창신동,1,2,0,1
서울특별시 종로구 숭인동,종로구,숭인동,0,0,0,0
서울특별시 종로구 교남동,종로구,교남동,0,0,0,0
서울특별시 종로구 평동,종로구,평동,0,0,0,0
서울특별시 종로구 송월동,종로구,송월동,0,0,0,0
서울특별시 종로구 홍파동,종로구,홍파동,0,0,0,0
서울특별시 종로구 교북동,종로구,교북동,0,0,0,0
서울특별시 종로구 행촌동,종로구,행촌동,0,0,0,0
서울특별시 종로구 구기동,종로구,구기동,0,0,0,0
서울특별시 종로구 평창동,종로구,평창동,0,0,0,0
서울특별시 종로구 부암동,종로구,부암동,0,0,0,0
서울특별시 종로구 홍지동,종로구,홍지동,0,0,0,0
서울특별시 종로구 신영동,종로구,신영동,0,0,0,0
서울특별시 종로구 무악동,종로구,무악동,0,0,0,0
서울특별시 중구,,,0,0,0,0
서울특별시 중구 무교동,중구,무교동,0,0,1,0
서울특별시 중구 다동,중구,다동,0,0,0,0
서울특별시 중구 태평로1가,중구,태평로1가,0,0,0,0
서울특별시 중구 을지로1가,중구,을지로1가,1,0,0,0
서울특별시 중구 을지로2가,중구,을지로2가,0,0,0,0
서울특별시 중구 남대문로1가,중구,남대문로1가,0,0,0,0
서울특별시 중구 삼각동,중구,삼각동,0,0,0,0
서울특별시 중구 수하동,중구,수하동,0,0,0,0
서울특별시 중구 장교동,중구,장교동,0,0,0,0
서울특별시 중구 수표동,중구,수표동,0,0,0,0
서울특별시 중구 소공동,중구,소공동,0,1,0,0
서울특별시 중구 남창동,중구,남창동,0,0,0,0
서울특별시 중구 북창동,중구,북창동,0,0,0,0
서울특별시 중구 태평로2가,중구,태평로2가,0,0,1,0
서울특별시 중구 남대문로2가,중구,남대문로2가,0,0,0,0
서울특별시 중구 남대문로3가,중구,남대문로3가,0,0,0,0
서울특별시 중구 남대문로4가,중구,남대문로4가,0,0,0,0
서울특별시 중구 남대문로5가,중구,남대문로5가,0,0,1,0
서울특별시 중구 봉래동1가,중구,봉래동1가,0,0,0,0
서울특별시 중구 봉래동2가,중구,봉래동2가,0,0,0,0
서울특별시 중구 회현동1가,중구,회현동1가,0,0,1,0
서울특별시 중구 회현동2가,중구,회현동2가,0,0,0,0
서울특별시 중구 회현동3가,중구,회현동3가,1,0,0,0
서울특별시 중구 충무로1가,중구,충무로1가,0,0,0,0
서울특별시 중구 충무로2가,중구,충무로2가,0,0,0,0
서울특별시 중구 명동1가,중구,명동1가,1,0,0,0
서울특별시 중구 명동2가,중구,명동2가,0,0,0,0
서울특별시 중구 남산동1가,중구,남산동1가,0,0,0,0
서울특별시 중구 남산동2가,중구,남산동2가,0,0,0,0
서울특별시 중구 남산동3가,중구,남산동3가,0,0,0,0
서울특별시 중구 저동1가,중구,저동1가,0,0,0,0
서울특별시 중구 충무로4가,중구,충무로4가,0,0,1,0
서울특별시 중구 충무로5가,중구,충무로5가,0,0,0,0
서울특별시 중구 인현동2가,중구,인현동2가,0,0,0,0
서울특별시 중구 예관동,중구,예관동,0,0,0,0
서울특별시 중구 묵정동,중구,묵정동,0,0,0,0
서울특별시 중구 필동1가,중구,필동1가,0,0,0,0
서울특별시 중구 필동2가,중구,필동2가,0,0,0,0
서울특별시 중구 필동3가,중구,필동3가,0,0,1,0
서울특별시 중구 남학동,중구,남학동,0,0,0,0
서울특별시 중구 주자동,중구,주자동,0,0,0,0
서울특별시 중구 예장동,중구,예장동,0,0,0,0
서울특별시 중구 장충동1가,중구,장충동1가,0,0,0,0
서울특별시 중구 장충동2가,중구,장충동2가,0,0,0,0
서울특별시 중구 광희동1가,중구,광희동1가,0,0,0,0
서울특별시 중구 광희동2가,중구,광희동2가,0,0,0,0
서울특별시 중구 쌍림동,중구,쌍림동,0,0,0,0
서울특별시 중구 을지로6가,중구,을지로6가,0,1,0,0
서울특별시 중구 을지로7가,중구,을지로7가,0,0,0,0
서울특별시 중구 을지로4가,중구,을지로4가,0,0,0,0
서울특별시 중구 을지로5가,중구,을지로5가,0,0,0,0
