변환한 주소	시	구	동	상호명	유가 정보 기간	상표	셀프여부	고급휘발유	휘발유	경유
서울 강남구 논현동 221	서울	강남구	논현동	(주)동하힐탑셀프주유소	2019년 10월 4주	SK에너지	셀프	1800.57	1648.57	1495.00
서울 강남구 삼성동 38-21	서울	강남구	삼성동	(주)만정에너지	2019년 10월 4주	GS칼텍스	일반	2289.00	1999.00	1899.00
서울 강남구 세곡동 21-13	서울	강남구	세곡동	(주)보성 세곡주유소	2019년 10월 4주	SK에너지	셀프	0.00	1548.00	1405.00
서울 강남구 도곡동 546-3	서울	강남구	도곡동	(주)선진도곡주유소	2019년 10월 4주	S-OIL	일반	1797.00	1639.00	1499.00
서울 강남구 대치동 913-18	서울	강남구	대치동	(주)소모에너지엔테크놀러지 쎈트럴주유소	2019년 10월 4주	GS칼텍스	일반	2128.86	1990.86	1790.86
서울 강남구 세곡동 20-8	서울	강남구	세곡동	GS칼텍스(주)직영 산성주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1567.00	1423.00
서울 강남구 역삼동 784-7	서울	강남구	역삼동	SK네트웍스(주) 매봉주유소	2019년 10월 4주	SK에너지	셀프	1895.00	1695.00	1572.71
서울 강남구 논현동 8-11	서울	강남구	논현동	SK논현주유소	2019년 10월 4주	SK에너지	일반	2148.00	1948.00	1813.00
서울 강남구 역삼동 834-47	서울	강남구	역삼동	SK서광주유소	2019년 10월 4주	SK에너지	셀프	1795.00	1625.00	1485.00
서울 강남구 도곡동 543-2	서울	강남구	도곡동	SK에너지㈜ 진달래주유소	2019년 10월 4주	SK에너지	일반	1775.00	1635.00	1495.00
서울 강남구 신사동 575-1	서울	강남구	신사동	㈜새서울석유 새서울주유소	2019년 10월 4주	현대오일뱅크	일반	2037.00	1798.00	1649.00
서울 강남구 청담동 79-14	서울	강남구	청담동	갤러리아주유소	2019년 10월 4주	SK에너지	일반	2284.00	1996.57	1892.43
서울 강남구 청담동 3-6	서울	강남구	청담동	경원주유소	2019년 10월 4주	S-OIL	일반	2276.00	1989.00	1885.00
서울 강남구 삼성동 169-17	서울	강남구	삼성동	금성주유소	2019년 10월 4주	SK에너지	일반	2189.00	1999.00	1884.14
서울 강남구 논현동 89-11	서울	강남구	논현동	논현동주유소	2019년 10월 4주	GS칼텍스	일반	1852.86	1683.43	1554.86
서울 강남구 논현동 106-4	서울	강남구	논현동	뉴서울(강남)	2019년 10월 4주	SK에너지	일반	2498.00	2218.00	2038.00
서울 강남구 신사동 503-1	서울	강남구	신사동	대교주유소	2019년 10월 4주	SK에너지	일반	2050.00	1820.86	1650.00
서울 강남구 신사동 633	서울	강남구	신사동	대동석유 압구정주유소	2019년 10월 4주	SK에너지	셀프	1803.57	1657.57	1535.14
서울 강남구 삼성동 97-1	서울	강남구	삼성동	대성석유(주)동호주유소	2019년 10월 4주	GS칼텍스	일반	1977.00	1877.00	1677.00
서울 강남구 일원동 624-8	서울	강남구	일원동	대청주유소	2019년 10월 4주	SK에너지	일반	2099.00	1896.00	1731.00
서울 강남구 개포동 167-9	서울	강남구	개포동	동일석유㈜직영 남부주유소	2019년 10월 4주	SK에너지	일반	0.00	1944.14	1732.14
서울 강남구 역삼동 785-17	서울	강남구	역삼동	명품주유소	2019년 10월 4주	S-OIL	일반	2145.00	1978.00	1826.00
서울 강남구 자곡동 56-126	서울	강남구	자곡동	방죽주유소	2019년 10월 4주	S-OIL	셀프	0.00	1579.00	1439.00
서울 강남구 도곡동 910	서울	강남구	도곡동	선우상사	2019년 10월 4주	SK에너지	일반	2348.00	2045.00	1886.57
서울 강남구 개포동 1164-2	서울	강남구	개포동	에스제이에너지(주) 개포주유소	2019년 10월 4주	GS칼텍스	셀프	2045.00	1658.00	1518.00
서울 강남구 역삼동 721-20	서울	강남구	역삼동	에쓰-오일(주)직영개나리주유소	2019년 10월 4주	S-OIL	일반	1802.71	1652.86	1530.71
서울 강남구 삼성동 71-9	서울	강남구	삼성동	오천주유소	2019년 10월 4주	SK에너지	일반	2287.86	1997.86	1883.29
서울 강남구 일원동 645-13	서울	강남구	일원동	일원주유소	2019년 10월 4주	S-OIL	셀프	0.00	1630.57	1457.00
서울 강남구 자곡동 210	서울	강남구	자곡동	자곡셀프주유소	2019년 10월 4주	SK에너지	셀프	0.00	1605.43	1452.86
